-0.52044 -0.39861 0.78304
1.054 0.36888 -0.16686
0.8881 -0.064919 0.47825
1.5472 0.46899 0.73927
-0.049178 -0.39861 0.32416
0.13629 3.0718 0.83794
0.032817 -0.53209 1.3376
0.72956 0.10193 -0.21196
0.64889 -0.23177 0.65361
-0.90589 1.4701 0.18258
1.3994 0.66921 0.70448
-0.018322 -0.13166 0.48711
0.62371 1.37 1.2884
1.1256 1.0029 0.51014
1.4784 1.1698 0.17813
1.59 1.1698 0.71091
-0.010469 0.23541 -0.62403
0.69733 0.43562 0.20861
-0.78729 -1.1661 1.4162
1.2825 1.1698 0.70781
1.5217 -0.031549 0.78312
0.89948 0.33551 0.1144
0.11357 0.5691 -0.20848
0.74885 0.068559 -0.25207
1.236 0.60247 0.90379
-0.22899 0.96953 0.81333
1.2122 0.83606 0.98677
-0.032312 -0.43198 0.44792
1.7706 0.43562 -0.18795
-1.0117 0.0018202 0.32793
-0.21557 -0.1984 -0.0046577
0.14899 0.03519 -0.49161
1.3044 -0.93252 1.3134
